left_out,interaction_pp,delta_vs_full,drop_off,drop_on
H19,12.355212355212352,-4.564399564399558,13.5846372688478,25.93984962406015
H10,14.915667547246503,-2.0039443723654067,11.024182076813648,25.93984962406015
H09,14.915667547246503,-2.0039443723654067,11.024182076813648,25.93984962406015
H13,15.070107701686652,-1.8495042179252579,13.726884779516357,28.79699248120301
H12,15.070107701686652,-1.8495042179252579,13.726884779516357,28.79699248120301
H11,16.07396870554766,-0.8456432140642498,13.726884779516357,29.800853485064017
H05,16.97486960644856,0.05525768683665078,13.726884779516357,30.701754385964918
H08,17.6183702499492,0.6987583303372915,10.95305832147937,28.57142857142857
H02,17.6183702499492,0.6987583303372915,8.321479374110952,25.93984962406015
H01,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H03,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H07,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H15,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H14,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H16,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H06,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H18,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H17,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H20,17.92725055882951,1.0076386392175998,13.726884779516357,31.654135338345867
H04,18.496240601503764,1.5766286818918545,13.157894736842103,31.654135338345867
